ddl_case_id,year,state_code,dist_code,court_no,cino,judge_position,female_defendant,female_petitioner,female_adv_def,female_adv_pet,type_name,purpose_name,disp_name,date_of_filing,date_of_decision,date_first_list,date_last_list,date_next_list
01-01-01-200308002162010,2010,01,01,01,MHNB030013812010,chief judicial magistrate,0 male,1 female,0,-9998,790,5228,42,2010-12-13,2011-06-19,2011-06-08,2011-06-20,2011-06-24
01-01-01-200707000172010,2010,01,01,01,MHNB030004552010,chief judicial magistrate,-9998 unclear,1 female,-9999,0,2587,3627,42,2010-02-25,2010-11-21,2010-08-06,2010-08-06,2010-11-30
01-01-01-200707000182010,2010,01,01,01,MHNB030004562010,chief judicial magistrate,-9998 unclear,-9998 unclear,-9999,0,2587,3627,42,2010-02-25,2010-11-21,2010-08-06,2010-08-06,2010-11-30
01-01-01-200707000192010,2010,01,01,01,MHNB030004582010,chief judicial magistrate,-9998 unclear,1 female,-9999,0,2587,3627,42,2010-02-25,2010-11-21,2010-08-06,2010-08-06,2010-11-30
01-01-01-200707000202010,2010,01,01,01,MHNB030004592010,chief judicial magistrate,-9998 unclear,-9998 unclear,-9999,0,2587,3627,42,2010-02-25,2010-11-21,2010-08-06,2010-08-06,2010-11-30
01-01-01-201907001972010,2010,01,01,01,MHNB030014212010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,509,25,2010-12-01,2015-07-24,2013-11-22,2015-06-12,2015-07-24
01-01-01-201908000012010,2010,01,01,01,MHNB030000012010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237,25,2010-01-02,2010-01-11,2010-01-05,2010-01-05,2010-01-11
01-01-01-201908000022010,2010,01,01,01,MHNB030000042010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,22,2010-01-02,2013-12-11,2010-02-02,2013-11-18,2013-12-11
01-01-01-201908000032010,2010,01,01,01,MHNB030000022010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237,25,2010-01-02,2010-02-11,2010-01-05,2010-01-27,2010-02-11
01-01-01-201908000042010,2010,01,01,01,MHNB030000032010,chief judicial magistrate,-9998 unclear,-9998 unclear,0,0,1429,2237,25,2010-01-02,2010-02-12,2010-01-06,2010-01-27,2010-02-12
