cino,case_no,court_name,date_first_list,date_last_list,date_next_list,date_of_decision,date_of_filing,dt_regis,desgcode,desgname,disp_name,disp_nature,district_code,district_name,state_code,state_name,fil_no,fil_year,reg_no,reg_year,fir_no,fir_year,goshwara_no,police_station,judgment_date,judgment_link,purpose_name,purpose_next,type_name,child_labour,child_marriage,type_name_updated,date_scraped,calpra_eliminated,pcma_eliminated,desgname_updated,desgname_super_broad_name,desgname_broader_category,type_name_reclassification_1,type_name_reclassification_2,outcome_classification_1,outcome_classification_2,pcma_type_name_reclassification_1,pcma_type_name_reclassification_2,pcma_type_name_reclassification_3,act,act_prefixed,description,offense,punishment,section
ASBN030004442020,207300002702020,Chief Judicial Magistrate,2020-05-20,2023-01-21,2023-01-21,2023-01-21,2020-05-20,2020-05-20,4.0,CJM Bongaigaon,Withdrawal,53,9,Bongaigaon,6,Assam,444.0,2020.0,270,2020,526,2019,2,Bongaigaon,,,Evidence of I.O,117,PRC Case,1,0,PRC,2023-03-05,0,,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Dismissal,"Others(Abated, Absconded
Allowed, Discharged, Dismissal, Disposed, Miscellaneous, Sec.258 Cr.P.C., Stopped, Untraced)",,,,236,IPC_236,"Description of IPC Section 236
According to section 236 of Indian penal code, Whoever, being within India abets the counterfeiting of coin out of India shall be punished in the same manner as if he abetted the counterfeiting of such coin within India.


IPC 236 in Simple Words
In simple words, Section 236 of the Indian Penal Code states that if someone in India encourages or supports the counterfeiting of coins outside India, they will be punished as if they were involved in counterfeiting coins within India.","Abetting, in India, the counterfeiting, out of India, of coin",The punishment provided for abetting the counterfeiting of such coin within India,IPC_236
ASBN030007702016,202700001242016,Chief Judicial Magistrate,2016-12-23,2020-03-06,2020-03-06,2020-03-06,2016-11-23,2016-11-23,5.0,Addl. CJM Bongaigaon,Disposed of,30,9,Bongaigaon,6,Assam,124.0,2016.0,124,2016,,0,2,,,,Appearence,22,CR Summon,1,0,Criminal Case Summon,2023-03-05,0,,Additional Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Disposed,"Others(Abated, Absconded
Allowed, Discharged, Dismissal, Disposed, Miscellaneous, Sec.258 Cr.P.C., Stopped, Untraced)",,,,949,IPC_949,,,,
ASBN030007702016,202700001242016,Chief Judicial Magistrate,2016-12-23,2020-03-06,2020-03-06,2020-03-06,2016-11-23,2016-11-23,5.0,Addl. CJM Bongaigaon,Disposed of,30,9,Bongaigaon,6,Assam,124.0,2016.0,124,2016,,0,2,,,,Appearence,22,CR Summon,1,0,Criminal Case Summon,2023-03-05,0,,Additional Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Disposed,"Others(Abated, Absconded
Allowed, Discharged, Dismissal, Disposed, Miscellaneous, Sec.258 Cr.P.C., Stopped, Untraced)",,,,950,IPC_950,,,,
UPSN040012032020,260100006992020,Chief Judicial Magistrate,2020-02-15,2022-05-14,2022-05-14,2022-05-14,2020-02-15,2020-02-15,35.0,Chief Judicial Magistrate Bhadohi,SETTLED IN LOK ADALAT,40,22,Bhadohi SR Nagar,13,Uttar Pradesh,1203.0,2020.0,699,2020,,0,2,KOTWALI GYANPUR,,,Hearing,26,Warrant or Summons Criminal Case,1,0,Warrant and Summons Criminal Case,2023-01-19,0,,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Conciliation/Compromise,Conciliation/Compromise,,,,2852,IPC_2852,,,,
UPSN040011932020,260100007062020,Chief Judicial Magistrate,2020-02-14,2021-09-11,2021-09-11,2021-09-11,2020-02-14,2020-02-14,35.0,Chief Judicial Magistrate Bhadohi,SETTLED IN LOK ADALAT,40,22,Bhadohi SR Nagar,13,Uttar Pradesh,1193.0,2020.0,706,2020,,0,2,BHADOHI,,,LOK ADALAT,64,Warrant or Summons Criminal Case,1,0,Warrant and Summons Criminal Case,2023-01-19,0,,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Conciliation/Compromise,Conciliation/Compromise,,,,6265,IPC_6265,,,,
ASBN070018252021,209800013542021,Sub-Divisional Judicial Magistrate,2021-12-28,2023-03-01,2023-05-02,,2021-12-28,2021-12-28,1.0,Sub-Divisional Judicial Magistrate,,0,9,Bongaigaon,6,Assam,1354.0,2021.0,1354,2021,760,2021,0,Abhayapuri,,,Evidence,76,PRC Case,1,0,PRC,2023-03-05,0,,SDJM,JMFC,JMFC,Criminal Trial,Criminal Trial,Pending,Pending,,,,813,IPC_813,,,,
ASBN030025332019,207300004172019,Chief Judicial Magistrate,2019-11-04,2021-10-25,2021-10-25,2021-10-25,2019-11-04,2019-11-04,4.0,CJM Bongaigaon,Committed,46,9,Bongaigaon,6,Assam,2337.0,2019.0,417,2019,26,2019,2,Dhaligaon,,,Copy,77,PRC Case,1,0,PRC,2023-03-05,0,,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Committal,Committal,,,,57,IPC_57,,,,
ASBN030025332019,207300004172019,Chief Judicial Magistrate,2019-11-04,2021-10-25,2021-10-25,2021-10-25,2019-11-04,2019-11-04,4.0,CJM Bongaigaon,Committed,46,9,Bongaigaon,6,Assam,2337.0,2019.0,417,2019,26,2019,2,Dhaligaon,,,Copy,77,PRC Case,1,0,PRC,2023-03-05,0,,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Committal,Committal,,,,67,IPC_67,,,,
ASBN030025332019,207300004172019,Chief Judicial Magistrate,2019-11-04,2021-10-25,2021-10-25,2021-10-25,2019-11-04,2019-11-04,4.0,CJM Bongaigaon,Committed,46,9,Bongaigaon,6,Assam,2337.0,2019.0,417,2019,26,2019,2,Dhaligaon,,,Copy,77,PRC Case,1,0,PRC,2023-03-05,0,,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Committal,Committal,,,,236,IPC_236,"Description of IPC Section 236
According to section 236 of Indian penal code, Whoever, being within India abets the counterfeiting of coin out of India shall be punished in the same manner as if he abetted the counterfeiting of such coin within India.


IPC 236 in Simple Words
In simple words, Section 236 of the Indian Penal Code states that if someone in India encourages or supports the counterfeiting of coins outside India, they will be punished as if they were involved in counterfeiting coins within India.","Abetting, in India, the counterfeiting, out of India, of coin",The punishment provided for abetting the counterfeiting of such coin within India,IPC_236
BRAR020007102017,215900000612017,CJM DIVISION,2017-03-03,2023-01-03,2023-03-13,,2017-02-06,2017-02-06,5.0,CJM,,0,24,Araria,8,Bihar,707.0,2017.0,61,2017,,0,0,FORBESGANJ,,,Appearence,121,Cr. Case Complaint (O),1,0,Complaint Case Criminal,2023-01-19,0,,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Pending,Pending,,,,2211,IPC_2211,,,,
